ord__Motivation_Level,ord__Parental_Involvement,ord__Access_to_Resources,ord__Teacher_Quality,num__Hours_Studied,num__Attendance,num__Previous_Scores,num__Tutoring_Sessions,num__Total_Dedication
1.0,0.0,2.0,2.0,-0.33034452819719434,1.2969163657696883,1.453813297957972,0.40903557216346226,0.2089367738862727
0.0,2.0,1.0,1.0,-0.6645138225416359,0.7774276285759895,-1.1852112844612572,0.40903557216346226,-0.3257434066118454
1.0,1.0,2.0,2.0,-0.6645138225416359,-0.9542014954030069,-1.3935553304417228,-0.4014114235676847,-0.9239869652111391
1.0,1.0,2.0,1.0,-1.4999370584027398,-1.3005273201988061,0.2037490220751792,0.40903557216346226,-1.6512267911334049
0.0,1.0,2.0,1.0,0.17090941331946807,1.2969163657696883,-1.2546592997880792,-0.4014114235676847,0.7417474432637687
1.0,2.0,2.0,1.0,1.173417296352793,-1.4736902325967058,1.1760212366506848,-1.2118584192988318,0.19211117380066825
1.0,1.0,2.0,0.0,0.6721633548361304,-0.0018054772145589292,-1.67134739174901,1.2194825678946093,0.60153410921706
2.0,2.0,2.0,1.0,-0.6645138225416359,-1.2139458639998564,-0.49073113119303907,0.40903557216346226,-1.0137234990010329
1.0,2.0,2.0,1.0,-0.16325988102497352,-0.434712758209308,1.453813297957972,0.40903557216346226,-0.32387389549122264
0.0,1.0,0.0,1.0,0.17090941331946807,-1.4736902325967058,-1.4630033457685447,-0.4014114235676847,-0.5145640297947474
1.0,1.0,1.0,1.0,-0.4974291753694151,-1.0407829516019567,-1.2546592997880792,-0.4014114235676847,-0.8267723869387537
2.0,2.0,1.0,2.0,0.3379940604916889,-1.6468531449946056,0.34264505272882284,1.2194825678946093,-0.4790433185029144
2.0,1.0,1.0,2.0,-1.4999370584027398,0.08477597898439089,0.48154108338246654,1.2194825678946093,-1.3221928339037936
0.0,1.0,1.0,1.0,0.5050787076639097,0.08477597898439089,0.689885129362932,-1.2118584192988318,0.49497197534156073
2.0,1.0,1.0,0.0,0.0038247661472472732,0.8640090847749392,0.5509890987092884,-0.4014114235676847,0.3771927747423244
1.0,1.0,0.0,1.0,0.6721633548361304,-0.3481313020103582,-1.1157632691344355,0.40903557216346226,0.42206104163727176
1.0,2.0,0.0,1.0,0.0038247661472472732,0.8640090847749392,0.8982291753433975,1.2194825678946093,0.3771927747423244
2.0,0.0,2.0,1.0,-0.6645138225416359,-0.8676200392040571,0.689885129362932,-1.2118584192988318,-0.8940747872811744
